city,latitude,longitude,country,iso2,state,formerState
Abohar,30.144533,74.19552,India,IN,Punjab,Punjab
Adilabad,19.4,78.31,India,IN,Telangana,Telangana
Agartala,23.836049,91.279386,India,IN,Tripura,Tripura
Agra,27.187935,78.003944,India,IN,Uttar Pradesh,Uttar Pradesh
Ahmadnagar,19.094571,74.738432,India,IN,Maharashtra,Maharashtra
Ahmedabad,23.025793,72.587265,India,IN,Gujarat,Gujarat
Aizawl,23.736701,92.714596,India,IN,Mizoram,Mizoram
Ajmer,26.452103,74.638667,India,IN,Rajasthan,Rajasthan
Akola,20.709569,76.998103,India,IN,Maharashtra,Maharashtra
Alappuzha,9.494647,76.331108,India,IN,Kerala,Kerala
Aligarh,27.881453,78.07464,India,IN,Uttar Pradesh,Uttar Pradesh
Alipurduar,26.4835,89.522855,India,IN,West Bengal,West Bengal
Allahabad,25.44478,81.843217,India,IN,Uttar Pradesh,Uttar Pradesh
Alwar,27.566291,76.610202,India,IN,Rajasthan,Rajasthan
Ambala,30.360993,76.797819,India,IN,Haryana,Haryana
Amaravati,20.933272,77.75152,India,IN,Maharashtra,Maharashtra
Amritsar,31.622337,74.875335,India,IN,Punjab,Punjab
Asansol,23.683333,86.983333,India,IN,West Bengal,West Bengal
Aurangabad,19.880943,75.346739,India,IN,Maharashtra,Maharashtra
Aurangabad,24.752037,84.374202,India,IN,Bihar,Bihar
Bakshpur,25.894283,80.792104,India,IN,Uttar Pradesh,Uttar Pradesh
Bamanpuri,28.804495,79.040305,India,IN,Uttar Pradesh,Uttar Pradesh
Baramula,34.209004,74.342853,India,IN,Jammu and Kashmir,Jammu and Kashmir
Barddhaman,23.255716,87.856906,India,IN,West Bengal,West Bengal
Bareilly,28.347023,79.421934,India,IN,Uttar Pradesh,Uttar Pradesh
Belgaum,15.862643,74.508534,India,IN,Karnataka,Karnataka
Bellary,15.142049,76.92398,India,IN,Karnataka,Karnataka
Bengaluru,12.977063,77.587106,India,IN,Karnataka,Karnataka
Bhagalpur,25.244462,86.971832,India,IN,Bihar,Bihar
Bharatpur,27.215251,77.492786,India,IN,Rajasthan,Rajasthan
Bharauri,27.598203,81.694709,India,IN,Uttar Pradesh,Uttar Pradesh
Bhatpara,22.866431,88.401129,India,IN,West Bengal,West Bengal
Bhavnagar,21.774455,72.152496,India,IN,Gujarat,Gujarat
Bhilai,21.209188,81.428497,India,IN,Chhattisgarh,Chhattisgarh
Bhilwara,25.347071,74.640812,India,IN,Rajasthan,Rajasthan
Bhiwandi,19.300229,73.058813,India,IN,Maharashtra,Maharashtra
Bhiwani,28.793044,76.13968,India,IN,Haryana,Haryana
Bhopal,23.254688,77.402892,India,IN,Madhya Pradesh,Madhya Pradesh
Bhubaneshwar,20.272411,85.833853,India,IN,Odisha,Odisha
Bhuj,23.253972,69.669281,India,IN,Gujarat,Gujarat
Bhusaval,21.043649,75.785058,India,IN,Maharashtra,Maharashtra
Bidar,17.913309,77.530105,India,IN,Karnataka,Karnataka
Bijapur,16.827715,75.718988,India,IN,Karnataka,Karnataka
Bikaner,28.017623,73.314955,India,IN,Rajasthan,Rajasthan
Bilaspur,22.080046,82.155431,India,IN,Chhattisgarh,Chhattisgarh
Brahmapur,19.311514,84.792903,India,IN,Odisha,Odisha
Budaun,28.038114,79.126677,India,IN,Uttar Pradesh,Uttar Pradesh
Bulandshahr,28.403922,77.857731,India,IN,Uttar Pradesh,Uttar Pradesh
Calicut,11.248016,75.780402,India,IN,Kerala,Kerala
Chanda,19.950758,79.295229,India,IN,Maharashtra,Maharashtra
Chandigarh,30.736292,76.788398,India,IN,Chandigarh,Chandigarh
Chennai,13.084622,80.248357,India,IN,Tamil Nadu,Tamil Nadu
Chikka Mandya,12.545602,76.895078,India,IN,Karnataka,Karnataka
Chirala,15.823849,80.352187,India,IN,Andhra Pradesh,Andhra Pradesh
Coimbatore,11.005547,76.966122,India,IN,Tamil Nadu,Tamil Nadu
Cuddalore,11.746289,79.764362,India,IN,Tamil Nadu,Tamil Nadu
Cuttack,20.522922,85.78813,India,IN,Odisha,Odisha
Daman,20.414315,72.83236,India,IN,Dadra and Nagar Haveli and Daman and Diu,Daman and Diu
Davangere,14.469237,75.92375,India,IN,Karnataka,Karnataka
DehraDun,30.324427,78.033922,India,IN,Uttarakhand,Uttarakhand
Delhi,28.651952,77.231495,India,IN,Delhi,Delhi
Dhanbad,23.801988,86.443244,India,IN,Jharkhand,Jharkhand
Dibrugarh,27.479888,94.90837,India,IN,Assam,Assam
Dindigul,10.362853,77.975827,India,IN,Tamil Nadu,Tamil Nadu
Dispur,26.135638,91.800688,India,IN,Assam,Assam
Diu,20.715115,70.987952,India,IN,Dadra and Nagar Haveli and Daman and Diu,Daman and Diu
